,id,lat,lon,meaninterval,meanlikes,meandensity,likes/posts
71,215917,1.3580936,103.7604547,7100.208333,31.75,0.000140841,225431.6146
72,220088,1.355322,103.988337,7854.225,414.7,0.00012732,3257147.108
73,234753,1.337692,103.964624,11816.77523,46.33333333,8.46255E-05,547510.5857
74,239466,1.3071719,103.907062,4218.611111,32.5,0.000237045,137104.8611
75,243634,1.350135,103.854907,7061.33004,144.8571429,0.000141616,1022884.094
76,244818,1.339345,103.705984,7033.902063,18.85714286,0.000142169,132639.2961
77,254698,1.295053,103.773846,4527.656592,28.36363636,0.000220865,128420.8052
78,257307,1.3054897,103.8260742,4944.711667,118.9,0.000202236,587926.2172
79,258718,1.313155,103.7805,7120.349854,42.42857143,0.000140443,302106.2724
80,264731,1.300259,103.770791,5735.996667,92.5,0.000174338,530579.6917
81,266785,1.293889,103.7965,5248.998485,42.54545455,0.000190513,223321.0264
82,275798,1.2922814,103.7834994,7123.992424,40.09090909,0.000140371,285607.3326
83,279717,1.3429859,103.7056105,6164.006458,28.375,0.000162232,174903.6833
84,282746,1.325709,103.8129,6165.023222,23,0.000162205,141795.5341
85,286512,1.4397126,103.7377931,16185.30556,45.66666667,6.17844E-05,739128.9537
86,287283,1.291437,103.7756428,25786.27407,82.55555556,3.87803E-05,2128800.182
87,299470,1.4618793,103.8130579,211879.62,44.6,4.71966E-06,9449831.052
88,301800,1.2924213,103.7740222,5622.369198,400.8888889,0.000177861,2253945.341
89,303033,1.3622902,103.8474133,4610.806921,44.41666667,0.000216882,204796.6741
90,313110,1.3187065,103.7064417,9836.31663,11.4,0.000101664,112134.0096
91,318244,1.3431472,103.7758583,4964.29463,37.3,0.000201438,185168.1897
92,322566,1.2929343,103.7714874,6730.898148,141.2222222,0.000148569,950552.394
93,328667,1.253071,103.81539,5469.062366,36.77777778,0.000182847,201139.9604
94,328978,1.458528,103.7992,4928.993946,14.3,0.000202881,70484.61342
95,329567,1.313864,103.8150601,90443.31429,41,1.10566E-05,3708175.886
96,335302,1.3812688,103.7518395,6662.208939,26.63636364,0.0001501,177457.0199
97,336001,1.293343,103.7730267,5301.966667,38.81818182,0.000188609,205812.7061
98,338105,1.310805,103.796499,6022.321667,41.5,0.000166049,249926.3492
99,338414,1.2985121,103.7748267,4923.825611,83.6,0.000203094,411631.8211
100,339841,1.3311897,103.8072258,5451.75,33.90909091,0.000183427,184863.8864
101,343865,1.352872,103.862313,11249.47917,69.25,8.8893E-05,779026.4323
102,354932,1.316759,104.0217641,5307.095,72.2,0.000188427,383172.259
103,358116,1.303302,103.809496,3270177.92,21.5,3.05794E-07,70308825.28
104,358509,1.4332197,103.756048,5757.004259,24.66666667,0.000173701,142006.1051
105,359283,1.3803062,103.9360265,39401.6697,37.27272727,2.53796E-05,1468607.689
106,360018,1.323861,103.8102,6156.382037,27.22222222,0.000162433,167590.3999
107,360570,1.2815881,103.809833,5471.748673,29,0.000182757,158680.7115
108,361225,1.3109762,103.7956951,4528.335455,52.90909091,0.000220832,239590.1122
109,372550,1.3056104,103.8300532,5086.709611,44,0.000196591,223815.2229
110,372569,1.3895727,103.978095,7086.022381,135.1428571,0.000141123,957625.3103
111,382992,1.3049929,103.8825706,5486.44787,36.55555556,0.000182267,200560.1499
112,384189,1.295265,103.8299737,4693.256061,57.45454545,0.000213072,269648.8937
113,388682,1.3525335,103.6854386,4493.941717,112.9090909,0.000222522,507406.8739
114,390824,1.3284966,103.9306561,5004.994304,60,0.0001998,300299.6583
115,391118,1.3517311,103.8615341,5472.387708,23.44444444,0.000182736,128297.0896
116,392825,1.3396142,103.7257859,5054.075758,22.72727273,0.00019786,114865.3581
117,397522,1.2880788,103.8359472,5619.714815,18.44444444,0.000177945,103652.5177
118,399988,1.3156979,103.8561148,41783.98333,57.09090909,2.39326E-05,2385485.594
119,406548,1.368566,103.9778573,4973.220861,66.1,0.000201077,328729.8989
120,407445,1.314921,103.8161324,4938.807417,39.9,0.000202478,197058.4159
121,407482,1.346452,103.8436,4469.240094,108.4545455,0.000223752,484709.4029
122,408319,1.4313055,103.7938392,9456.729167,49.75,0.000105745,470472.276
123,408644,1.3046347,103.787509,7099.188889,40.16666667,0.000140861,285150.7537
124,410018,1.4452125,103.806568,5164.927944,44.2,0.000193614,228289.8151
125,410668,1.3257603,103.9336112,8200.904545,48.18181818,0.000121938,395134.4917
126,414069,1.3342881,103.7811426,4696.651389,44.25,0.000212918,207826.824
127,417398,1.292248,103.776611,136440.0095,12.28571429,7.32923E-06,1676262.974
128,426066,1.3518673,103.8690742,5486.705895,74,0.000182259,406016.2362
129,426275,1.2943039,103.8163171,46980.59167,34,2.12854E-05,1597340.117
130,426858,1.33179,103.8064452,13433.13485,34.81818182,7.44428E-05,467717.3315
131,428466,1.3622362,103.9738262,5481.39213,19.11111111,0.000182435,104755.494
132,428877,1.304102,103.7825572,8216.286551,32,0.000121709,262921.1696
133,429459,1.291735,103.8446,6198.853507,68.5,0.00016132,424621.4652
134,429654,1.3177956,103.7792879,8132.095238,20.42857143,0.00012297,166127.0884
135,429990,1.2924504,103.831136,6655.541667,16.5,0.000150251,109816.4375
136,430272,1.3530435,103.9728553,8424.717381,70.71428571,0.000118698,595747.8719
137,432409,1.330398,103.8512,5098.05303,142.9090909,0.000196153,728558.124
138,439030,1.334915,103.8895,4219.242037,106,0.000237009,447239.6559
139,441709,1.3178328,103.8055615,9710.65,75.75,0.00010298,735581.7375
140,442841,1.3669051,103.9645099,4940.856333,29.2,0.000202394,144273.0049
141,443015,1.3401584,103.7066263,68054.83636,48.27272727,1.4694E-05,3285192.555
142,446381,1.397381,103.7475,6226.429444,301.125,0.000160606,1874933.566
143,449642,1.354679,103.9419213,7169.324074,23.44444444,0.000139483,168080.82
144,451505,1.3175353,103.9437963,6627.777674,17.875,0.00015088,118471.5259
145,452054,1.305017,103.8313,93764.17143,26.85714286,1.06651E-05,2518237.747
146,452465,1.2640448,103.8125054,5240.138333,31.7,0.000190835,166112.3852
147,452617,1.355855,103.989586,7076.19375,37.75,0.000141319,267126.3141
148,452635,1.3483645,103.685482,4932.111528,43.1,0.000202753,212574.0068
149,453197,1.352585,103.8352,5042.071667,37.4,0.000198331,188573.4803
150,453713,1.2902491,103.8351346,48848.09091,84.45454545,2.04716E-05,4125443.314
151,454115,1.3144121,103.8026367,24399.83182,84.18181818,4.09839E-05,2054022.206
152,456060,1.3632386,103.8360999,16360.94745,18.33333333,6.11212E-05,299950.7033
153,456448,1.2854259,103.8385441,6188.417917,20.25,0.000161592,125315.4628
154,457989,1.3048293,103.8135147,6107.266667,39.16666667,0.000163739,239201.2778
155,458447,1.4378792,103.7953312,6200.783576,23.875,0.00016127,148043.7079
156,459310,1.337098,103.8929979,24816.08199,14.5,4.02964E-05,359833.1889
157,459318,1.3736481,103.933828,6349.556,15.9,0.000157491,100957.9404
158,459345,1.3167284,103.8982767,5188.61,53.7,0.00019273,278628.357
159,459429,1.345871,103.7508974,262437.12,34.8,3.81044E-06,9132811.776
160,459540,1.2924099,103.7739968,32778.78,88.6,3.05075E-05,2904199.908
161,459890,1.3407596,103.6803047,16357.71239,29.33333333,6.11332E-05,479826.2301
162,460307,1.335243,103.706346,8655.523611,55.08333333,0.000115533,476775.0922
163,460314,1.3979246,103.9128774,5913.948148,20.88888889,0.000169092,123535.8058
164,460802,1.353207,103.9344639,10708.02222,34.66666667,9.33879E-05,371211.437
165,460963,1.3600105,103.7594963,8193.680046,22,0.000122045,180260.961
166,461450,1.3039671,103.9012865,6154.692292,47.875,0.000162478,294655.8935
167,461698,1.3349327,103.8093344,40622.92167,17.5,2.46166E-05,710901.1292
168,464302,1.338555,103.6949249,7037.888889,57.88888889,0.000142088,407415.5679
169,466591,1.34415,103.6800792,4929.402889,85.2,0.000202864,419985.1261
170,467143,1.294635,103.796,5825.683056,26.33333333,0.000171654,153409.6538
171,468631,1.3903448,103.9863729,5493.421402,54.44444444,0.000182036,299086.2763
172,470448,1.3691825,103.89931,5574.272469,5.666666667,0.000179396,31587.54399
173,473379,1.3162006,103.8626835,4922.201344,37.9,0.000203161,186551.4309
174,475381,1.3160332,103.8058468,4983.467611,32.1,0.000200663,159969.3103
175,475543,1.3167825,103.7841363,24763.12649,5,4.03826E-05,123815.6324
176,475560,1.3036098,103.835046,5491.172341,46.11111111,0.00018211,253204.0579
177,476707,1.4518279,103.793987,4128.64578,51.66666667,0.00024221,213313.3653
178,476855,1.3242867,103.8928439,4163.695093,51.58333333,0.000240171,214777.2719
179,477221,1.297472,103.7925,5878.22963,89.22222222,0.000170119,524468.7103
180,477229,1.286869,103.8080536,6149.899549,22.75,0.000162604,139910.2147
181,477260,1.4062261,103.9022625,120950.1643,12.57142857,8.26787E-06,1520516.351
182,477916,1.3745407,103.8692467,6724.16875,21.125,0.000148717,142048.0648
183,481063,1.3642209,103.8314511,6139.08537,14.5,0.000162891,89016.73787
184,482604,1.2797816,103.8346685,665257.275,26.125,1.50318E-06,17379846.31
185,483925,1.3036098,103.835046,7538.207407,35.11111111,0.000132658,264674.8379
