,id,medianinterval,mediandensity,medianlikes,likes/post
111,382992,23.185,0.043131335,34,788.2899984
112,384189,69.1,0.01447178,18,1243.800002
113,388682,23.7125,0.04217185,136,3224.900022
114,390824,43.38340856,0.023050287,47.5,2060.711869
115,391118,11.60619213,0.086160903,20,232.1238439
116,392825,568.1333333,0.00176015,23,13067.06815
117,397522,35.88333333,0.027868091,16,574.1333341
118,399988,1252.8,0.000798212,66,82684.80053
119,406548,40.54805556,0.024662095,54,2189.595004
120,407445,26.52555556,0.037699493,41.5,1100.81056
121,407482,2.158391204,0.463308041,81,174.8296874
122,408319,1831.458333,0.000546013,48.5,88825.72393
123,408644,1706.041667,0.000586152,32,54593.3478
124,410018,143.8845833,0.006950015,18,2589.922468
125,410668,3074.916667,0.000325212,25,76872.93212
126,414069,222.6,0.004492363,37,8236.199969
127,417398,12993.51667,7.70E-05,13,168915.6266
128,426066,18.6825,0.053526027,5,93.41250005
129,426275,793.6583333,0.001259988,11.5,9127.071051
130,426858,1334.183333,0.000749522,29,38691.32594
131,428466,18.78666667,0.053229241,19,356.946664
132,428877,29.78898148,0.033569459,31,923.4584329
133,429459,50.59875,0.019763334,69.5,3516.613138
134,429654,300.7333333,0.003325205,19,5713.933427
135,429990,424.025,0.002358352,12,5088.298948
136,430272,357.0358333,0.002800839,74,26420.65467
137,432409,151.85,0.006585446,113,17159.05043
138,439030,74.71277778,0.013384591,54.5,4071.846499
139,441709,3291.95,0.000303771,54,177765.4878
140,442841,17.86222222,0.055984076,24.5,437.6244416
141,443015,16859,5.93E-05,18,303461.9956
142,446381,86.23027778,0.011596855,18.5,1595.260094
143,449642,2172.116667,0.00046038,23,49958.72974
144,451505,554.7205556,0.001802709,5,2773.603505
145,452054,2845,0.000351494,5,14224.99388
146,452465,81.46666667,0.012274959,29,2362.533349
147,452617,334.125,0.002992892,22.5,7517.812203
148,452635,24.38638889,0.041006481,25,609.6597267
149,453197,89.5,0.011173184,21.5,1924.250062
150,453713,3861.483333,0.000258968,67,258719.224
151,454115,10655.65,9.38E-05,57,607372.2201
152,456060,2.419930556,0.413234999,16,38.71888886
153,456448,14.58861111,0.068546621,12.5,182.3576395
154,457989,1613,0.000619963,17,27420.99125
155,458447,47.74805556,0.020943261,19.5,931.0870929
156,459310,282.4819907,0.003540049,14.5,4095.988502
157,459318,38.66472222,0.02586337,13,502.6413805
158,459345,95.85833333,0.010432061,24,2300.600044
159,459429,206313.5,4.85E-06,5,1031568.045
160,459540,16168.25,6.18E-05,70,1131777.732
161,459890,2.035474537,0.49128593,12,24.42569442
162,460307,5179.025,0.000193087,34,176086.4274
163,460314,208,0.004807692,11,2288.000146
164,460802,897.8166667,0.001113813,25,22445.41947
165,460963,3.005324074,0.332742818,5,15.02662035
166,461450,20.20180556,0.049500526,34.5,696.9622909
167,461698,367.4666667,0.002721335,13.5,4960.800489
168,464302,313.6333333,0.003188437,42,13172.59836
169,466591,17.79263889,0.056203018,75,1334.447912
170,467143,145.4947222,0.006873102,22,3200.883677
171,468631,18.63594907,0.05365973,25,465.8987289
172,470448,35.65638889,0.028045465,5,178.2819433
173,473379,8.441956019,0.118455959,33,278.5845497
174,475381,33.29930556,0.030030656,24,799.1833412
175,475543,229.5264873,0.004356796,5,1147.632343
176,475560,12.56662037,0.07957589,15,188.4993055
177,476707,14.07097801,0.071068265,34.5,485.4487442
178,476855,58.27902778,0.017158831,31,1806.649882
179,477221,419.3333333,0.002384738,63,26417.99644
180,477229,18.19486111,0.054960573,25.5,463.9689619
181,477260,8634.883333,0.000115809,15,129523.6122
182,477916,116.8666667,0.00855676,18.5,2162.033293
183,481063,3.987025463,0.250813547,13.5,53.82484384
184,482604,137463,7.27E-06,15.5,2130677.913
185,483925,294.6833333,0.003393473,18,5304.300344
186,484166,4.681388889,0.21361182,18,84.26499994
187,484344,15.12697917,0.066107052,35,529.4442717
188,486170,3.880555556,0.257695061,15.5,60.14861107
189,486797,12699.25,7.87E-05,31,393676.7888
190,486992,119.7344444,0.008351816,74,8860.348456
191,487177,4785,0.000208986,40,191400.3809
192,487714,282.1166667,0.003544633,5,1410.583268
193,488113,498.7666667,0.002004946,5,2493.832752
194,492020,109.4901389,0.009133243,21.5,2354.037881
195,493368,629.3666667,0.001588899,107,67342.2288
196,494360,2253.966667,0.000443662,23.5,52968.25061
197,495461,14363.01667,6.96E-05,23,330349.1791
198,495520,82.64166667,0.012100434,39.5,3264.345725
199,495870,8151,0.000122684,18,146718.3985
200,495877,3337.391667,0.000299635,23,76760.05807
201,496268,163.3705556,0.006121054,17,2777.299465
202,496431,17.75,0.056338028,35,621.2500019
203,496682,57.13333333,0.017502917,40,2285.333353
204,497052,48160.425,2.08E-05,14.5,698327.3855
205,497712,11.12111111,0.089919073,24,266.9066662
206,498925,1155.241667,0.00086562,42,48520.13586
207,505238,19.57333333,0.051089918,19,371.8933352
208,507536,27.24208333,0.036707912,15,408.6312509
209,507835,217.7558333,0.004592299,21,4572.872977
210,508145,523.1416667,0.001911528,136,71147.27067
211,508545,8750.65,0.000114277,16,140010.6758
212,509407,239.3916667,0.004177255,33,7899.924711
213,509656,21.21652778,0.047133066,30,636.4958308
214,513478,13.33152778,0.075010158,48.5,646.579094
215,514452,131.1669444,0.007623872,65,8525.851431
216,515592,54.64944444,0.018298448,14,765.0922089
217,515680,876,0.001141553,18,15767.99325
218,516369,10537.99167,9.49E-05,18,189683.9339
219,518953,22.26076968,0.044922077,42,934.9523175
220,523052,70.23388889,0.014238141,18,1264.209984
221,523386,1207.466667,0.00082818,26,31394.14137
222,524203,925.425,0.001080585,38,35166.13686
223,524443,98.21805556,0.010181427,5,491.0902961
224,524736,157.2166667,0.006360649,24,3773.199873
225,525023,52.54166667,0.019032514,139,7303.29162
226,525200,6.106736111,0.163753596,14,85.49430573
227,525261,29.65887731,0.033716718,31.5,934.254633
228,525292,150.0166667,0.006665926,89,13351.48335
229,526280,62.15611111,0.016088523,33,2051.151619
230,531902,7172.45,0.000139422,32,229519.0142
231,532720,4.944444444,0.202247191,101.5,501.8611111
232,532862,323.075,0.003095257,33.5,10823.01082
233,533282,39.91222222,0.025054982,12,478.9466622
234,533852,172.6083333,0.005793463,19,3279.558357
235,534939,11.79770255,0.084762266,86.5,1020.501269
236,535486,69.98555556,0.014288663,71,4968.974354
237,539373,5854.816667,0.0001708,124,725995.3162
238,541164,22097.61667,4.53E-05,24,530343.3752
239,542710,146401,6.83E-06,37,5416840.518
240,543622,24.55,0.040733198,16,392.7999957
241,543766,444.0916667,0.002251787,25.5,11324.33929
242,548321,1402.533333,0.000712996,143,200562.135
243,550566,323.3947222,0.003092196,62,20050.47545
244,550638,1027.216667,0.000973504,23,23625.99435
245,551162,1189.225,0.000840884,26.5,31514.45384
246,551667,28.92240741,0.034575268,22,636.292971
247,556710,565.3833333,0.001768711,20,11307.66982
248,557353,9928.3,0.000100722,55,546057.4651
249,558784,31.85,0.031397174,19,605.1500049
250,559023,2.959166667,0.337932977,46,136.1216665
251,559339,24.58652778,0.040672681,70.5,1733.350206
252,560651,59346.65833,1.69E-05,10,593468.288
253,560962,858.4666667,0.001164868,28,24037.05828
254,561684,14339.15,6.97E-05,17,243765.6924
255,561692,5.476666667,0.182592818,32,175.2533333
256,562362,3150.775,0.000317382,30,94523.3189
257,562636,85.19034144,0.01173842,17.5,1490.830964
258,569693,9960.983333,0.000100392,5,49804.76532
259,569897,1698.208333,0.000588856,94,159631.5568
260,572316,105.7058102,0.009460218,13.5,1427.028426
261,574076,23.98527778,0.041692242,23,551.6613858
262,574420,699.0833333,0.001430445,30.5,21322.03615
263,574662,84.39333333,0.011849277,32,2700.586711
264,574947,59.21666667,0.016887138,35,2072.583288
265,580531,2190,0.000456621,28,61320.00061
266,581656,6076.6,0.000164566,16,97225.42931
267,582496,15702.48333,6.37E-05,34,533884.3858
268,584078,1839.583333,0.000543601,16,29433.35277
269,587311,2.813321759,0.355451699,5,14.06660881
270,587502,44.11125,0.022669954,16,705.7799941
271,589421,2836.466667,0.000352551,17,48219.97385
272,590980,380.5479745,0.00262779,22,8372.054083
273,593341,10331.83333,9.68E-05,28,289291.4632
274,595209,8.967181713,0.111517758,40.5,363.1708593
275,598568,192.0591667,0.005206729,27,5185.59733
276,599159,7353.825,0.000135984,18.5,136045.4171
277,599191,369.0416667,0.002709721,21.5,7934.396198
278,599289,10089.375,9.91E-05,5,50446.85827
279,599369,7321.25,0.000136589,17,124460.9742
280,599402,2671.016667,0.000374389,19.5,52084.8636
281,600974,836.9833333,0.001194767,68,56914.8629
282,603399,354.15,0.002823662,63,22311.45229
283,603804,45871.40833,2.18E-05,16,733941.5874
284,606361,429.7341667,0.00232702,24,10313.61999
285,607352,4.507916667,0.221831962,46.5,209.6181253
286,609005,724.3583333,0.001380532,58.5,42374.96849
287,609574,1126.691667,0.000887554,44,49574.44843
288,613699,194585,5.14E-06,21,4086286.811
289,614131,16.74300347,0.05972644,53.5,895.7506927
290,614208,7.938275463,0.125971945,30,238.1482639
291,614848,12.47555556,0.080156751,204,2545.013333
292,615049,22.86902778,0.043727263,40.5,926.1956322
293,615637,66.49638889,0.015038411,38.5,2560.110905
294,616050,114.9333333,0.008700696,22,2528.53335
295,616860,5716.291667,0.000174939,21,120041.8432
296,620794,2973.441667,0.000336311,19.5,57982.04638
297,622661,25.2,0.03968254,13,327.5999974
298,623900,242.8819444,0.004117227,19,4614.756485
299,624048,469.6666667,0.00212917,21,9862.998258
300,624176,218.9,0.004568296,37,8099.300045
301,624742,109.6416667,0.00912062,59,6468.858477
302,624869,415.8869444,0.0024045,33.5,13932.21044
303,625893,308.9180556,0.003237104,96,29656.13709
304,626094,8.664444444,0.115414209,20,173.2888885
305,626622,17.50796296,0.057116867,65,1138.017602
306,627429,410.0666667,0.002438628,19,7791.266237
307,627754,2932.45,0.000341012,26,76243.65125
308,633870,509.0166667,0.001964572,13,6617.217389
309,635657,15.46652778,0.064655753,58.5,904.7918752
310,637078,366.7416667,0.002726715,13,4767.641649
311,637728,579.6666667,0.001725129,28.5,16520.50368
312,638012,1235,0.000809717,107.5,132762.4343
313,638296,2887.916667,0.00034627,23,66422.15612
314,639443,135.85,0.00736106,24,3260.399997
315,639618,1288.535278,0.000776075,45,57984.08659
316,640659,15948.11667,6.27E-05,27,430599.3464
317,642358,28.6125,0.03494976,126,3605.174971
318,647033,7503.475,0.000133272,38,285131.1603
319,648638,3.216666667,0.310880829,14,45.03333334
320,649118,389.6916667,0.002566131,30,11690.75156
321,649148,590.1333333,0.001694532,40,23605.33764
322,649349,4974.35,0.000201031,32.5,161666.6086
323,649394,34.1234375,0.029305371,34,1160.19688
324,650180,180.5256944,0.005539378,33.5,6047.6104
325,651271,32024,3.12E-05,5,160119.8978
326,654594,23.25582755,0.042999975,26,604.6515143
327,655190,851.6166667,0.001174237,56,47690.54288
328,656649,33318.31667,3.00E-05,12.5,416479.251
329,659250,161.5527778,0.006189928,20.5,3311.831737
330,664628,50.83027778,0.019673314,60,3049.81662
331,668497,1204.55,0.000830186,51,61432.01644
332,669604,5.091666667,0.196399345,78,397.1500007
333,670687,4.113368056,0.243109779,19,78.15399314
334,671263,16.80083333,0.059520857,54,907.2450015
335,671528,120.4719444,0.008300688,17,2048.023007
336,675078,181.3413889,0.005514461,20,3626.827717
337,675600,690925,1.45E-06,19,13127530.5
338,678466,2.230752315,0.448279261,62,138.3066436
339,680116,81.02416667,0.012341997,54,4375.304904
340,681592,85.50805556,0.011694805,5,427.5402625
341,687015,4135.216667,0.000241825,41,169544.0918
342,690108,74.03305556,0.01350748,26,1924.859411
343,691288,31.0933912,0.032161175,22,684.0546093
344,692438,1500.366667,0.000666504,116,174042.4664
345,692748,25,0.04,20,500
346,694679,31.24361111,0.032006544,47,1468.449702
347,694876,9925.666667,0.000100749,16,158810.5093
348,696975,7977.175,0.000125358,19,151565.9152
349,703523,2071.666667,0.000482703,12,24860.00709
350,704797,85.86666667,0.011645963,36,3091.199929
351,706388,323.2022222,0.003094038,42,13574.49391
352,706970,90203.74167,1.11E-05,12.5,1127548.259
353,707494,17.35572917,0.057617862,8.5,147.5236967
354,707499,148.8583333,0.006717797,38.5,5731.04546
355,714612,6469.158333,0.00015458,15,97037.13288
356,715726,17.79638889,0.056191175,32,569.4844431
357,716305,42.90524306,0.023307175,31,1330.062524
358,716884,10.355,0.096571704,34,352.0700018
359,717008,104.78,0.009543806,83,8696.740064
360,717178,291.0661111,0.003435646,42,12224.7752
361,717708,69.70305556,0.014346573,21,1463.764203
362,717740,2721.45,0.000367451,28,76200.63628
363,717873,243.425,0.004108041,13.5,3286.237893
364,719406,430.95,0.002320455,23.5,10127.32417
365,720818,252146,3.97E-06,33,8320810.094
366,721282,204.2077778,0.004896973,9.5,1939.973939
367,726038,67.50305556,0.014814144,22,1485.067244
368,728668,4367.7,0.000228953,16,69883.3385
369,729335,7321.166667,0.00013659,34,248920.1259
370,730514,31.56375,0.031681914,30.5,962.6943625
371,732049,190.5991667,0.005246613,20.5,3907.28266
372,733982,11.95385417,0.083655028,17,203.2155198
373,739453,26.2,0.038167939,13,340.5999994
374,740434,48.27111111,0.020716324,28.5,1375.726697
375,741326,19.33333333,0.051724138,38,734.6666657
376,743318,16.07972222,0.062190129,35,562.7902782
377,745869,99.22777778,0.010077823,29,2877.60561
378,747219,20261,4.94E-05,40,810440.0892
379,751947,5.821990741,0.171762554,37,215.4136576
380,752101,62.25,0.016064257,37,2303.250004
381,752528,28746.58333,3.48E-05,5,143733.0934
382,754172,23587.7,4.24E-05,42,990682.8635
383,755146,321.9916667,0.00310567,18.5,5956.846671
384,755431,9708.8,0.000102999,56,543694.599
385,757218,3.857887731,0.259209202,39,150.4576215
386,757935,116.6333333,0.008573878,26,3032.466755
387,758683,60989.01667,1.64E-05,27,1646702.935
388,758910,52.17111111,0.019167696,67.5,3521.550008
389,766070,6.112112269,0.16360956,20,122.2422455
390,766887,26.06684606,0.038362907,13,338.8690018
391,767028,13.97453125,0.071558751,27.5,384.2996086
392,769191,67239,1.49E-05,120,8068691.46
393,769206,90.49215278,0.011050682,91.5,8280.031947
394,771399,1526.966667,0.000654893,20,30539.34001
